Family	Genome type	Host type
Viruses	Unknown	Unknown
Viruses;Alphasatellitidae	ssDNA	Eukaryote
Viruses;Ampullaviridae	dsDNA	Prokaryote
Viruses;Anelloviridae	ssDNA(-)	Eukaryote
Viruses;Avsunviroidae	ssRNA	Eukaryote
Viruses;Bartogtaviriformidae	dsDNA	Prokaryote
Viruses;Bicaudaviridae	dsDNA	Prokaryote
Viruses;Brachygtaviriformidae	dsDNA	Prokaryote
Viruses;Clavaviridae	dsDNA	Prokaryote
Viruses;Fuselloviridae	dsDNA	Prokaryote
Viruses;Globuloviridae	dsDNA	Prokaryote
Viruses;Guttaviridae	dsDNA	Prokaryote
Viruses;Halspiviridae	dsDNA	Prokaryote
Viruses;Itzamnaviridae	dsDNA	Prokaryote
Viruses;Ovaliviridae	dsDNA	Prokaryote
Viruses;Plasmaviridae	dsDNA	Prokaryote
Viruses;Polydnaviriformidae	dsDNA	Eukaryote
Viruses;Portogloboviridae	dsDNA	Prokaryote
Viruses;Pospiviroidae	ssRNA	Eukaryote
Viruses;Rhodogtaviriformidae	dsDNA	Prokaryote
Viruses;Spiraviridae	ssDNA(+)	Prokaryote
Viruses;Thaspiviridae	dsDNA	Prokaryote
Viruses;Tolecusatellitidae	ssDNA	Eukaryote
Viruses;Naldaviricetes	dsDNA	Eukaryote
Viruses;Adnaviria	dsDNA	Prokaryote
Viruses;Duplodnaviria	dsDNA	Unknown
Viruses;Duplodnaviria;Heunggongvirae;Peploviricota	dsDNA	Eukaryote
Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes	dsDNA	Eukaryote
Viruses;Duplodnaviria;Heunggongvirae;Uroviricota	dsDNA	Prokaryote
Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote
Viruses;Monodnaviria;Loebvirae	ssDNA	Prokaryote
Viruses;Monodnaviria;Loebvirae;Hofneiviricota	ssDNA	Prokaryote
Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes	ssDNA	Prokaryote
Viruses;Monodnaviria;Sangervirae	ssDNA	Prokaryote
Viruses;Monodnaviria;Sangervirae;Phixviricota	ssDNA	Prokaryote
Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes	ssDNA	Prokaryote
Viruses;Monodnaviria;Shotokuvirae	Unknown	Eukaryote
Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Mouviricetes	ssDNA	Eukaryote
Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae	dsDNA	Eukaryote
Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae	ssDNA	Eukaryote
Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes	ssDNA	Eukaryote
Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota	ssDNA	Eukaryote
Viruses;Monodnaviria;Trapavirae	DNA	Prokaryote
Viruses;Riboviria;Polymycoviridae	dsRNA	Eukaryote
Viruses;Riboviria;Sarthroviridae	ssRNA(+)	Eukaryote
Viruses;Riboviria	RNA	Unknown
Viruses;Riboviria;Orthornavirae	RNA	Unknown
Viruses;Riboviria;Orthornavirae;Birnaviridae	dsRNA	Eukaryote
Viruses;Riboviria;Orthornavirae;Permutotetraviridae	ssRNA(+)	Eukaryote
